SOLDIER_ID,LAST_NAME,FIRST_NAME,GENDER,AGE,HOME_STATE,RANK,PAY_GRADE,MOS_CODE,MOS_TITLE,MOS_BRANCH,BRIGADE,BATTALION,COMPANY,PLATOON,ENLISTMENT_DATE,YEARS_OF_SERVICE,STATUS,DEPLOYMENT,THEATER,DEPLOY_MONTHS,COMBAT_TOURS,BASE_PAY_USD,BAH_USD,BAS_USD,TOTAL_MONTHLY_PAY_USD,ACFT_TOTAL_SCORE,ACFT_STATUS,RUN_TIME_MIN,PUSHUPS_COUNT,SITUPS_COUNT,WEAPON,WEAPON_SCORE,WEAPON_QUALIFICATION,EDUCATION,SECURITY_CLEARANCE,AIRBORNE_QUALIFIED,AIR_ASSAULT_QUALIFIED,RANGER_TAB,VEHICLE_QUALIFIED,AWARD_1,AWARD_2,EVAL_RATING,LAST_PROMOTION_DATE,INJURY_STATUS,REENLIST_ELIGIBLE,DAYS_UNTIL_ETS,ETS_STATUS
US-0011,Williams,Brianna,F,22,CO,SPC,E3,15T,UH-60 Helicopter Repairer,Aviation,CAB,2-12 IN,Alpha,1st PLT,2012-06-25,11.9,Transition,NTC Rotation,Fort Irwin,0,0,2259,1067,422,3748,508,PASS,13.9,48,65,M4 Carbine,19,MARKSMAN,Some College,None,NO,NO,NO,None,Army Achievement Medal,None,Qualified,2012-11-22,Fit for Duty,YES,965,Retained
US-0012,Wright,Kevin,M,25,OH,CPL,E4,35F,Intelligence Analyst,Intelligence,DIVARTY,3-16 FA,HHC,2nd PLT,2010-04-24,14.1,Attached,NTC Rotation,Fort Irwin,0,0,2504,0,422,2926,460,PASS,20,21,41,M9 Pistol,37,EXPERT,BA/BS Degree,None,NO,YES,NO,None,None,Bronze Star Medal,Qualified,2015-02-08,Medical Hold,YES,413,Retained
US-0013,Harris,Michael,M,26,CA,2LT,O1,25U,Signal Support Specialist,Signal,1st BCT,2-12 IN,Charlie,HQ PLT,2013-12-19,10.5,Medical Hold,JRTC Rotation,Fort Johnson,0,0,3637,1898,266,5801,381,PASS,20.5,27,46,M240B,17,MARKSMAN,BA/BS Degree,None,NO,NO,NO,LMTV,Army Achievement Medal,Purple Heart,Needs Improvement,2017-06-03,Fit for Duty,YES,991,Retained
US-0014,Wright,Monique,F,27,VA,2LT,O1,92A,Automated Logistical Specialist,Logistics,3rd BCT,1-4 AVN,Foxtrot,1st PLT,2021-02-22,3.3,Transition,OIR,Iraq/Syria,9,1,3637,2165,266,6068,573,PASS,15.3,64,48,M249 SAW,22,MARKSMAN,Some College,Top Secret,NO,NO,YES,LMTV,Meritorious Service Medal,Meritorious Service Medal,Qualified,2024-09-02,Limited Duty,YES,819,Retained
US-0015,Lewis,Danielle,F,32,CO,SFC,E7,88M,Motor Transport Operator,Logistics,CAB,2-4 AVN,Bravo,1st PLT,2011-05-14,13.1,Active Duty,Peacetime,CONUS,0,0,3294,2159,422,5875,410,PASS,13.3,80,78,M240B,23,MARKSMAN,MA/MS Degree,Secret,NO,NO,YES,HMMWV,None,None,Highly Qualified,2022-02-01,Profile,YES,1136,Retained
US-0016,King,Luis,M,23,AL,PVT,E1,94F,Special Electronic Devices Repairer,Maintenance,1st BCT,3-16 FA,Bravo,2nd PLT,2020-08-10,3.8,Attached,Peacetime,CONUS,0,0,1917,0,422,2339,523,PASS,17.2,78,37,M249 SAW,30,SHARPSHOOTER,BA/BS Degree,TS/SCI,NO,NO,NO,FMTV,None,Air Assault Badge,Needs Improvement,2021-07-21,Medical Hold,YES,1635,Retained
US-0017,Thompson,Lauren,F,42,IN,1SG,E8,68W,Combat Medic,Medical,1st BCT,2-4 AVN,Charlie,2nd PLT,2011-02-04,13.3,Medical Hold,OIR,Iraq/Syria,10,1,4739,0,422,5161,368,PASS,13.7,34,54,M249 SAW,18,MARKSMAN,HS Diploma,None,NO,NO,NO,M1126 Stryker,Meritorious Service Medal,None,Outstanding,2017-09-12,Limited Duty,YES,1097,Retained
US-0018,Hall,Crystal,F,19,PA,MSG,E8,68W,Combat Medic,Medical,2nd BCT,2-12 IN,Delta,4th PLT,2005-08-26,18.8,Leave,KFOR,Kosovo,10,1,4739,2169,422,7330,355,FAIL,18.7,73,59,M4 Carbine,28,MARKSMAN,BA/BS Degree,TS/SCI,NO,NO,NO,None,Airborne Badge,Army Commendation Medal,Highly Qualified,2012-05-01,Medical Hold,YES,882,Retained
US-0019,Clark,Brianna,F,42,TN,1SG,E8,25B,IT Specialist,Signal,1st BCT,87th BSB,Alpha,HQ PLT,2006-03-03,18.2,Medical Hold,OIR,Iraq/Syria,7,1,4739,0,422,5161,305,FAIL,19.1,61,32,M249 SAW,22,MARKSMAN,Some College,None,NO,NO,NO,M2A3 Bradley,Army Commendation Medal,Combat Medic Badge,Qualified,2012-12-23,Fit for Duty,YES,-58,ETS Eligible
US-0020,Allen,Derek,M,18,CO,CPT,O3,42A,Human Resources Specialist,Admin,DISCOM,1-41 IN,Alpha,HQ PLT,2020-06-28,3.9,Leave,NTC Rotation,Fort Irwin,0,0,4836,0,266,5102,597,PASS,13.4,69,49,M4 Carbine,34,SHARPSHOOTER,BA/BS Degree,Top Secret,YES,NO,NO,M1126 Stryker,None,None,Outstanding,2023-07-25,Fit for Duty,YES,1383,Retained
US-0021,Garcia,Elijah,M,33,OH,1SG,E8,92A,Automated Logistical Specialist,Logistics,DIVARTY,87th BSB,Delta,4th PLT,2021-05-25,3,TDY,Peacetime,CONUS,0,0,4739,1349,422,6510,432,PASS,19.7,73,35,M9 Pistol,23,MARKSMAN,AA Degree,None,NO,NO,NO,None,None,None,Outstanding,2024-05-05,Medical Hold,YES,631,Retained
US-0022,Martinez,Michael,M,26,VA,MSG,E8,19D,Cavalry Scout,Combat,CAB,87th BSB,HHC,2nd PLT,2020-06-28,3.9,Medical Hold,KFOR,Kosovo,15,2,4739,0,422,5161,414,PASS,13.3,34,55,M240B,37,EXPERT,AA Degree,Top Secret,NO,NO,NO,None,Airborne Badge,None,Needs Improvement,2021-01-29,Profile,YES,792,Retained
US-0023,Wilson,Aaron,M,40,NY,SFC,E7,19D,Cavalry Scout,Combat,CAB,2-12 IN,Echo,HQ PLT,2022-01-19,2.4,TDY,Peacetime,CONUS,0,0,3294,2022,422,5738,441,PASS,20.8,73,42,M249 SAW,27,MARKSMAN,BA/BS Degree,None,YES,NO,NO,LMTV,Combat Infantry Badge,None,Qualified,2023-08-06,Fit for Duty,YES,1422,Retained
US-0024,Moore,Danielle,F,45,IN,SSG,E6,11B,Infantry,Combat,3rd BCT,87th BSB,Alpha,1st PLT,2013-12-27,10.4,Attached,KFOR,Kosovo,2,0,2980,0,422,3402,445,PASS,13.8,71,66,M4 Carbine,23,MARKSMAN,BA/BS Degree,TS/SCI,NO,NO,NO,M1A2 Abrams,Army Achievement Medal,Meritorious Service Medal,Qualified,2015-03-24,Medical Hold,YES,351,Retained
US-0025,Wright,Brandon,M,25,NY,SPC,E3,12B,Combat Engineer,Combat Support,2nd BCT,3-66 AR,HHC,1st PLT,2008-07-06,15.9,Attached,OIF,Iraq,13,2,2259,1722,422,4403,434,PASS,15,34,48,M9 Pistol,18,MARKSMAN,AA Degree,Secret,NO,YES,NO,None,None,None,Needs Improvement,2011-09-21,Profile,YES,759,Retained
US-0026,Brown,Carlos,M,34,MO,LTC,O5,19D,Cavalry Scout,Combat,3rd BCT,2-4 AVN,Delta,3rd PLT,2016-03-23,8.2,Attached,Peacetime,CONUS,0,0,6618,1811,266,8695,455,PASS,13.2,22,57,M240B,16,MARKSMAN,AA Degree,Top Secret,YES,YES,NO,HMMWV,Army Achievement Medal,None,Highly Qualified,2023-02-13,Profile,YES,1514,Retained
US-0027,Jackson,Ryan,M,24,SC,MAJ,O4,35F,Intelligence Analyst,Intelligence,3rd BCT,1-4 AVN,Alpha,2nd PLT,2012-05-25,12,Attached,KFOR,Kosovo,15,2,5696,1390,266,7352,522,PASS,19.4,55,32,M4 Carbine,26,MARKSMAN,AA Degree,None,NO,NO,YES,M1A2 Abrams,Bronze Star Medal,None,Outstanding,2016-07-25,Limited Duty,YES,593,Retained
US-0028,Lewis,Derek,M,25,MO,COL,O6,11C,Indirect Fire Infantry,Combat,1st BCT,1-4 AVN,HHC,2nd PLT,2020-12-02,3.5,Transition,OEF,Afghanistan,9,1,7668,0,266,7934,348,FAIL,17.2,25,44,M9 Pistol,19,MARKSMAN,MA/MS Degree,Top Secret,NO,NO,NO,None,None,Expert Infantryman Badge,Needs Improvement,2023-05-12,Profile,YES,1581,Retained
US-0029,Anderson,DeShawn,M,25,CO,MAJ,O4,35F,Intelligence Analyst,Intelligence,DIVARTY,2-12 IN,Foxtrot,1st PLT,2011-05-07,13.1,TDY,JRTC Rotation,Fort Johnson,0,0,5696,1411,266,7373,537,PASS,19.9,48,64,M240B,26,MARKSMAN,HS Diploma,Secret,NO,NO,NO,FMTV,Air Assault Badge,Meritorious Service Medal,Outstanding,2019-07-21,Medical Hold,YES,1081,Retained
US-0030,Williams,Ryan,M,45,KY,SGT,E5,88M,Motor Transport Operator,Logistics,DIVARTY,1-82 FA,Foxtrot,1st PLT,2014-11-16,9.5,Attached,OIF,Iraq,14,2,2730,0,422,3152,328,FAIL,16,61,39,M9 Pistol,24,MARKSMAN,HS Diploma,Top Secret,NO,NO,NO,None,Purple Heart,Meritorious Service Medal,Highly Qualified,2021-09-04,Fit for Duty,YES,677,Retained
US-0031,Clark,DeShawn,M,37,AZ,CPL,E4,31B,Military Police,Law Enforcement,DISCOM,2-4 AVN,Foxtrot,1st PLT,2014-12-14,9.5,Transition,OEF,Afghanistan,9,1,2504,0,422,2926,473,PASS,15.3,23,48,M240B,29,MARKSMAN,MA/MS Degree,Secret,NO,YES,YES,LMTV,Combat Infantry Badge,None,Outstanding,2015-08-10,Profile,YES,451,Retained
US-0032,Anderson,Lauren,F,30,IN,LTC,O5,25U,Signal Support Specialist,Signal,DISCOM,1-8 CAV,Foxtrot,4th PLT,2011-06-15,13,Deployed,JRTC Rotation,Fort Johnson,0,0,6618,0,266,6884,590,PASS,13.1,80,52,M240B,36,EXPERT,AA Degree,TS/SCI,NO,YES,NO,M1126 Stryker,Meritorious Service Medal,Expert Infantryman Badge,Needs Improvement,2011-06-29,Medical Hold,YES,1121,Retained
US-0033,Allen,James,M,41,NY,PFC,E2,94F,Special Electronic Devices Repairer,Maintenance,DIVARTY,2-4 AVN,Delta,3rd PLT,2022-05-26,2,TDY,NTC Rotation,Fort Irwin,0,0,2149,1271,422,3842,418,PASS,14.4,32,69,M249 SAW,36,EXPERT,HS Diploma,TS/SCI,YES,NO,NO,None,Army Achievement Medal,None,Highly Qualified,2024-04-30,Medical Hold,YES,219,Retained
US-0034,Hall,Luis,M,26,KY,1LT,O2,88M,Motor Transport Operator,Logistics,DIVARTY,2-12 IN,Foxtrot,2nd PLT,2010-10-07,13.7,Attached,NTC Rotation,Fort Irwin,0,0,4188,1786,266,6240,529,PASS,18.8,41,37,M4 Carbine,20,MARKSMAN,HS Diploma,Top Secret,YES,NO,YES,None,None,None,Outstanding,2015-11-18,Limited Duty,YES,1060,Retained
US-0035,Wright,Tyler,M,30,MO,MSG,E8,68W,Combat Medic,Medical,1st BCT,21st BSB,HHC,3rd PLT,2018-09-07,5.7,Active Duty,OEF,Afghanistan,2,0,4739,2101,422,7262,499,PASS,20.2,39,71,M4 Carbine,20,MARKSMAN,AA Degree,None,NO,NO,NO,FMTV,Army Commendation Medal,Bronze Star Medal,Outstanding,2019-09-25,Limited Duty,YES,1199,Retained
US-0036,Young,Ryan,M,38,MI,MAJ,O4,25U,Signal Support Specialist,Signal,1st BCT,2-4 AVN,Charlie,2nd PLT,2014-12-12,9.5,Attached,KFOR,Kosovo,7,1,5696,0,266,5962,473,PASS,20.8,43,64,M4 Carbine,28,MARKSMAN,HS Diploma,TS/SCI,YES,NO,NO,M2A3 Bradley,Bronze Star Medal,None,Highly Qualified,2015-05-31,Fit for Duty,YES,340,Retained
US-0037,Allen,Michael,M,18,NC,SFC,E7,25B,IT Specialist,Signal,2nd BCT,1-82 FA,Foxtrot,2nd PLT,2022-09-09,1.7,Active Duty,Peacetime,CONUS,0,0,3294,805,422,4521,566,PASS,19.8,29,38,M240B,21,MARKSMAN,AA Degree,Top Secret,NO,NO,NO,None,Army Achievement Medal,Army Commendation Medal,Qualified,2024-05-12,Fit for Duty,NO,1654,Retained
US-0038,Robinson,DeShawn,M,33,MO,LTC,O5,31B,Military Police,Law Enforcement,3rd BCT,15th BSB,HHC,1st PLT,2015-02-20,9.3,Attached,Peacetime,CONUS,0,0,6618,0,266,6884,556,PASS,18.7,78,72,M240B,30,SHARPSHOOTER,HS Diploma,TS/SCI,NO,NO,YES,None,None,Army Commendation Medal,Outstanding,2016-08-30,Fit for Duty,YES,-231,ETS Eligible
US-0039,Young,Brandon,M,28,CO,2LT,O1,42A,Human Resources Specialist,Admin,DIVARTY,15th BSB,Charlie,4th PLT,2016-05-04,8.1,Attached,Peacetime,CONUS,0,0,3637,0,266,3903,572,PASS,19.2,27,71,M249 SAW,29,MARKSMAN,AA Degree,TS/SCI,NO,NO,YES,None,Expert Infantryman Badge,Meritorious Service Medal,Needs Improvement,2017-09-17,Medical Hold,YES,1442,Retained
US-0040,Martinez,DeShawn,M,25,GA,SPC,E3,42A,Human Resources Specialist,Admin,1st BCT,2-4 AVN,Echo,3rd PLT,2007-12-02,16.5,Transition,Peacetime,CONUS,0,0,2259,922,422,3603,506,PASS,18.2,46,52,M4 Carbine,25,MARKSMAN,AA Degree,Secret,NO,NO,NO,None,Airborne Badge,None,Highly Qualified,2013-04-01,Medical Hold,YES,426,Retained
US-0041,Hall,Nicole,F,28,NC,PVT,E1,92A,Automated Logistical Specialist,Logistics,DISCOM,2-4 AVN,Charlie,1st PLT,2009-01-17,15.4,Leave,OIR,Iraq/Syria,9,1,1917,1495,422,3834,579,PASS,12.6,75,39,M9 Pistol,18,MARKSMAN,AA Degree,Secret,NO,NO,NO,LMTV,Combat Infantry Badge,Army Commendation Medal,Highly Qualified,2022-05-17,Medical Hold,YES,-153,ETS Eligible
US-0042,Garcia,Luis,M,37,CA,PFC,E2,15T,UH-60 Helicopter Repairer,Aviation,1st BCT,2-12 IN,Delta,4th PLT,2015-11-23,8.5,Transition,Peacetime,CONUS,0,0,2149,1705,422,4276,348,FAIL,14.8,68,62,M240B,29,MARKSMAN,HS Diploma,Top Secret,YES,YES,NO,None,Army Achievement Medal,None,Outstanding,2017-05-15,Profile,YES,62,ETS Eligible
US-0043,Moore,Derek,M,30,TX,CPL,E4,11B,Infantry,Combat,CAB,2-4 AVN,Delta,2nd PLT,2007-11-25,16.5,Transition,KFOR,Kosovo,7,1,2504,1824,422,4750,311,FAIL,13.1,75,77,M9 Pistol,16,MARKSMAN,AA Degree,TS/SCI,NO,NO,YES,LMTV,Expert Infantryman Badge,Purple Heart,Outstanding,2017-04-27,Profile,YES,982,Retained
US-0044,Brown,Elijah,M,26,OH,MSG,E8,42A,Human Resources Specialist,Admin,DIVARTY,3-16 FA,HHC,1st PLT,2013-11-17,10.5,TDY,NTC Rotation,Fort Irwin,0,0,4739,1435,422,6596,329,FAIL,14.4,69,40,M4 Carbine,32,SHARPSHOOTER,Some College,Secret,NO,YES,NO,FMTV,Air Assault Badge,None,Needs Improvement,2014-09-10,Profile,YES,225,Retained
US-0045,Allen,Danielle,F,29,VA,LTC,O5,15T,UH-60 Helicopter Repairer,Aviation,DIVARTY,1-4 AVN,Echo,HQ PLT,2012-04-01,12.2,TDY,NTC Rotation,Fort Irwin,0,0,6618,2084,266,8968,516,PASS,13.8,24,60,M240B,24,MARKSMAN,HS Diploma,TS/SCI,NO,YES,YES,LMTV,Airborne Badge,None,Highly Qualified,2020-08-15,Fit for Duty,YES,1395,Retained
US-0046,Allen,Carlos,M,39,MI,SFC,E7,35F,Intelligence Analyst,Intelligence,DIVARTY,87th BSB,HHC,2nd PLT,2006-05-22,18,TDY,KFOR,Kosovo,3,0,3294,0,422,3716,416,PASS,16.8,31,32,M9 Pistol,30,SHARPSHOOTER,HS Diploma,Top Secret,NO,NO,NO,None,Air Assault Badge,Combat Infantry Badge,Needs Improvement,2008-02-14,Medical Hold,YES,1785,Retained
US-0047,Anderson,Brianna,F,27,NC,SGT,E5,35F,Intelligence Analyst,Intelligence,1st BCT,21st BSB,Echo,2nd PLT,2012-11-05,11.6,Leave,OIR,Iraq/Syria,12,2,2730,0,422,3152,458,PASS,15.1,44,71,M249 SAW,37,EXPERT,Some College,TS/SCI,NO,YES,NO,HMMWV,None,None,Highly Qualified,2016-04-21,Medical Hold,YES,427,Retained
US-0048,Martinez,Luis,M,39,IL,SGM,E9,25B,IT Specialist,Signal,1st BCT,15th BSB,Foxtrot,HQ PLT,2021-07-26,2.9,Leave,Peacetime,CONUS,0,0,5473,877,422,6772,595,PASS,19.9,59,38,M9 Pistol,20,MARKSMAN,BA/BS Degree,TS/SCI,YES,NO,NO,HMMWV,Combat Infantry Badge,None,Qualified,2022-04-25,Medical Hold,YES,1687,Retained
US-0049,Robinson,Derek,M,26,MO,SFC,E7,35F,Intelligence Analyst,Intelligence,DISCOM,21st BSB,Delta,4th PLT,2022-04-05,2.2,Leave,OIR,Iraq/Syria,12,2,3294,1829,422,5545,599,PASS,20.7,72,42,M249 SAW,24,MARKSMAN,MA/MS Degree,None,NO,YES,NO,M1A2 Abrams,Army Commendation Medal,Purple Heart,Highly Qualified,2023-03-31,Profile,YES,1347,Retained
US-0050,Clark,James,M,18,FL,PFC,E2,42A,Human Resources Specialist,Admin,DIVARTY,1-82 FA,Bravo,4th PLT,2006-10-31,17.6,Leave,OIR,Iraq/Syria,7,1,2149,857,422,3428,461,PASS,20.4,73,75,M249 SAW,20,MARKSMAN,HS Diploma,Secret,NO,NO,NO,None,Army Commendation Medal,None,Outstanding,2009-05-09,Medical Hold,YES,1747,Retained
US-0051,Taylor,Monique,F,25,IN,MSG,E8,25U,Signal Support Specialist,Signal,1st BCT,1-8 CAV,Bravo,4th PLT,2019-05-02,5.1,TDY,NTC Rotation,Fort Irwin,0,0,4739,2075,422,7236,595,PASS,13,73,61,M4 Carbine,36,EXPERT,BA/BS Degree,TS/SCI,YES,NO,NO,M1A2 Abrams,Air Assault Badge,None,Qualified,2024-11-14,Profile,YES,977,Retained
US-0052,Harris,James,M,38,NC,COL,O6,11B,Infantry,Combat,DISCOM,3-16 FA,Charlie,3rd PLT,2021-10-06,2.7,Attached,OIF,Iraq,11,1,7668,938,266,8872,343,FAIL,14.5,62,70,M240B,20,MARKSMAN,Some College,Secret,NO,NO,NO,HMMWV,Army Commendation Medal,None,Needs Improvement,2021-03-17,Fit for Duty,YES,701,Retained
US-0053,Wilson,Marcus,M,33,AL,PFC,E2,35F,Intelligence Analyst,Intelligence,3rd BCT,15th BSB,Delta,HQ PLT,2015-08-15,8.8,Leave,OIR,Iraq/Syria,1,0,2149,0,422,2571,314,FAIL,14.9,75,79,M240B,24,MARKSMAN,AA Degree,TS/SCI,NO,NO,NO,FMTV,Army Achievement Medal,Meritorious Service Medal,Outstanding,2019-10-05,Medical Hold,YES,-177,ETS Eligible
US-0054,Garcia,Maria,F,18,NY,SGM,E9,35F,Intelligence Analyst,Intelligence,1st BCT,2-5 CAV,Charlie,3rd PLT,2011-11-16,12.5,Leave,KFOR,Kosovo,13,2,5473,1141,422,7036,470,PASS,15.5,22,76,M9 Pistol,24,MARKSMAN,MA/MS Degree,TS/SCI,NO,NO,NO,None,None,Army Commendation Medal,Highly Qualified,2012-07-04,Limited Duty,YES,466,Retained
US-0055,Harris,Nathan,M,24,MI,PFC,E2,92A,Automated Logistical Specialist,Logistics,2nd BCT,1-4 AVN,Delta,3rd PLT,2013-05-06,11.1,Transition,KFOR,Kosovo,2,0,2149,0,422,2571,432,PASS,17,45,50,M249 SAW,19,MARKSMAN,AA Degree,None,NO,NO,NO,None,Army Commendation Medal,Expert Infantryman Badge,Outstanding,2016-01-17,Limited Duty,YES,-197,ETS Eligible
US-0056,Lewis,Sarah,F,29,KY,SPC,E3,31B,Military Police,Law Enforcement,DISCOM,1-82 FA,Echo,3rd PLT,2020-11-30,3.5,Attached,OIF,Iraq,9,1,2259,0,422,2681,379,PASS,18.6,79,74,M240B,32,SHARPSHOOTER,MA/MS Degree,Secret,NO,NO,YES,LMTV,Combat Medic Badge,None,Qualified,2020-09-22,Medical Hold,YES,-147,ETS Eligible
US-0057,Harris,Derek,M,27,NC,COL,O6,88M,Motor Transport Operator,Logistics,CAB,3-16 FA,Foxtrot,HQ PLT,2006-08-28,17.8,Medical Hold,OEF,Afghanistan,10,1,7668,0,266,7934,466,PASS,16.3,63,63,M249 SAW,40,EXPERT,Some College,None,YES,NO,NO,M2A3 Bradley,Air Assault Badge,Combat Infantry Badge,Qualified,2013-10-05,Medical Hold,YES,1625,Retained
US-0058,Anderson,DeShawn,M,37,TX,SFC,E7,15T,UH-60 Helicopter Repairer,Aviation,DIVARTY,2-12 IN,Bravo,3rd PLT,2018-10-13,5.6,Active Duty,Peacetime,CONUS,0,0,3294,0,422,3716,377,PASS,17.5,57,39,M240B,34,SHARPSHOOTER,BA/BS Degree,Top Secret,NO,NO,NO,M1126 Stryker,Army Commendation Medal,Army Commendation Medal,Highly Qualified,2023-06-02,Medical Hold,YES,503,Retained
US-0059,Lewis,Brianna,F,32,IL,SPC,E3,19D,Cavalry Scout,Combat,1st BCT,3-66 AR,Delta,4th PLT,2015-11-11,8.6,TDY,KFOR,Kosovo,6,1,2259,0,422,2681,466,PASS,15.2,65,50,M9 Pistol,20,MARKSMAN,Some College,Secret,NO,YES,NO,None,None,None,Highly Qualified,2019-04-23,Fit for Duty,YES,1212,Retained
US-0060,Moore,Aaron,M,45,GA,2LT,O1,13F,Fire Support Specialist,Combat Support,2nd BCT,87th BSB,HHC,4th PLT,2016-03-09,8.2,Medical Hold,OIR,Iraq/Syria,15,2,3637,0,266,3903,413,PASS,20.5,52,59,M249 SAW,34,SHARPSHOOTER,BA/BS Degree,TS/SCI,NO,NO,YES,FMTV,Purple Heart,None,Needs Improvement,2020-02-07,Profile,YES,1151,Retained
US-0061,Harris,Marcus,M,34,AZ,PFC,E2,92A,Automated Logistical Specialist,Logistics,DIVARTY,1-41 IN,Charlie,HQ PLT,2011-06-23,12.9,Transition,OIF,Iraq,12,2,2149,1832,422,4403,350,FAIL,19,37,69,M249 SAW,19,MARKSMAN,MA/MS Degree,Top Secret,NO,YES,NO,None,Meritorious Service Medal,None,Needs Improvement,2014-01-27,Fit for Duty,YES,864,Retained
